epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,5719.07,0.31761,0.25115,0.82338,0.99998,1,0.995,0.98468,0.19818,7.76907,0.73293,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5893.83,0.30781,0.2452,0.81601,0.92812,0.92362,0.95112,0.90163,0.34002,60.5359,0.76671,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6064.68,0.31049,0.24593,0.82151,0.99999,1,0.995,0.98601,0.19292,0.1596,0.73162,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6246.43,0.31174,0.24612,0.82195,0.99807,0.9992,0.995,0.97431,0.25467,14.9081,0.73922,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6421.89,0.30983,0.24563,0.82097,0.99999,1,0.995,0.98975,0.17107,0.13838,0.73094,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,6596.59,0.30491,0.24353,0.82117,0.99999,1,0.995,0.99317,0.1616,0.14051,0.72932,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,6772.26,0.29937,0.23769,0.81749,0.99999,1,0.995,0.99119,0.17221,0.1438,0.73096,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,6947.97,0.30047,0.23883,0.81951,0.99999,1,0.995,0.99177,0.17283,0.14299,0.73153,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,7125.29,0.28893,0.23311,0.81525,0.99998,1,0.995,0.98625,0.20156,14.23,0.73417,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7300.57,0.29629,0.23792,0.8196,0.99999,1,0.995,0.99336,0.13829,0.13793,0.72917,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,7475.81,0.29042,0.23163,0.81661,0.99999,1,0.995,0.99164,0.16632,0.13487,0.7294,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,7650.6,0.28988,0.2336,0.81852,0.99996,1,0.995,0.99174,0.17918,0.70606,0.72949,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,7827.32,0.28589,0.23161,0.8155,0.99998,1,0.995,0.993,0.16,19.0334,0.72851,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,8001.87,0.28058,0.22582,0.81364,0.99999,1,0.995,0.99285,0.15815,0.13222,0.7284,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8178.23,0.28127,0.22574,0.8147,1,0.99998,0.995,0.99141,0.19108,4.51529,0.72938,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,8355.45,0.27905,0.22335,0.81304,0.99998,1,0.995,0.99085,0.18386,24.2198,0.7286,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,8530.51,0.27743,0.22218,0.81483,0.99999,1,0.995,0.99285,0.16008,0.13248,0.72888,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,8705.48,0.27591,0.22214,0.81637,0.99999,1,0.995,0.99336,0.1546,0.1286,0.72892,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,8880.63,0.2754,0.22151,0.81409,0.99999,1,0.995,0.9946,0.12886,0.12285,0.7276,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,9055.8,0.27215,0.22002,0.81574,0.99999,1,0.995,0.99453,0.15412,0.12367,0.7281,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,9230.85,0.27,0.21848,0.812,0.99999,1,0.995,0.99291,0.15393,0.1316,0.72804,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,9406.68,0.27051,0.2199,0.81447,0.99999,1,0.995,0.9929,0.16552,0.15099,0.72875,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,9582.47,0.27095,0.22125,0.81389,0.99999,1,0.995,0.99318,0.15439,0.12616,0.7282,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,9757.82,0.26838,0.2163,0.8131,0.99999,1,0.995,0.99348,0.1517,0.12055,0.72799,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,9932.72,0.265,0.21474,0.81238,0.99999,1,0.995,0.99125,0.15653,0.12519,0.72743,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,10107.5,0.26864,0.21889,0.81375,0.99999,1,0.995,0.99457,0.1264,0.11139,0.72609,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,10284.3,0.26079,0.21214,0.81327,0.99998,1,0.995,0.99031,0.20063,5.71542,0.73052,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,10459.9,0.2598,0.21305,0.81256,0.99998,1,0.995,0.99482,0.12241,0.15485,0.72642,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,10635.8,0.25715,0.20901,0.81029,0.99999,1,0.995,0.99352,0.13154,0.17982,0.72681,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,10810.4,0.25636,0.20677,0.80944,0.99999,1,0.995,0.99436,0.15958,0.12122,0.72823,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
