epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12545,0.34611,0.25121,0.83451,0.99865,0.99905,0.99494,0.99186,0.15252,0.24219,0.63629,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,12933.7,0.34018,0.24578,0.83265,0.99833,0.99943,0.99493,0.9922,0.14741,0.21334,0.63648,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,13324.8,0.33809,0.24372,0.83514,0.99903,0.99886,0.99497,0.9921,0.14453,0.22453,0.63542,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,13714.9,0.33811,0.24263,0.83139,0.99882,0.99907,0.99495,0.99232,0.14097,0.2616,0.63543,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,14105.1,0.33484,0.24058,0.83094,0.99919,0.99881,0.99497,0.99344,0.14038,0.2454,0.63557,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,14496,0.33179,0.23739,0.82942,0.999,0.99933,0.99498,0.9936,0.14507,0.23146,0.63583,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,14887.8,0.33334,0.23938,0.83181,0.99871,0.99934,0.99495,0.9936,0.13789,0.26198,0.6352,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,15273.3,0.32618,0.23488,0.82999,0.99865,0.99911,0.99497,0.99356,0.13752,0.23878,0.63493,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,15654.8,0.32571,0.23703,0.83073,0.99881,0.99891,0.99498,0.99362,0.13393,0.23882,0.63441,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,16038.7,0.32847,0.23709,0.82997,0.99896,0.99946,0.99498,0.99373,0.12529,0.17951,0.63446,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,16423.9,0.32024,0.23252,0.82832,0.99902,0.99943,0.99498,0.99376,0.1268,0.17727,0.63416,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,16808.4,0.32177,0.2327,0.83076,0.99859,0.99969,0.99497,0.99377,0.12682,0.2273,0.6342,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,17193.9,0.32373,0.23488,0.8288,0.99876,0.99929,0.99498,0.99376,0.1303,0.22927,0.63427,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,193.766,0.31495,0.22758,0.82755,0.99914,0.99804,0.99498,0.9937,0.13216,0.2852,0.63274,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,387.193,0.3201,0.23295,0.8296,0.99897,0.99904,0.99498,0.9937,0.13198,0.31617,0.63272,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,580.602,0.31739,0.23097,0.8289,0.99886,0.99928,0.995,0.99372,0.13045,0.2081,0.63325,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,773.275,0.32052,0.2339,0.83007,0.99938,0.99823,0.99499,0.99368,0.13432,0.21404,0.63338,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,966.454,0.31837,0.23346,0.8294,0.99907,0.99921,0.995,0.99371,0.12821,0.19655,0.63269,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1160.13,0.31762,0.23036,0.82664,0.99907,0.99918,0.99499,0.99367,0.12402,0.19291,0.63244,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1354.2,0.31903,0.2328,0.82859,0.9989,0.99897,0.99494,0.99369,0.12506,0.21115,0.63234,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
